batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,407000,1752,44000,7058
1,1,,yearontiktok,tiktoklive_us,17700,144,974,43
1,2,,,,1000000,2848,107400,18500
1,3,,"animation, animationmeme, youngsheldon, georgecooper, sheldon, sheldoncooper",,196000,4932,25300,2961
1,4,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4411,124200,11900
1,5,,,,331300,7012,29700,2749
1,6,,"fyp, fyp%E3%82%B7, foryou, foryoupage, tiktok",,741000,43100,85400,337700
1,7,,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",,438400,2612,35200,1455
1,8,,"fyp, viral, blowthisup",,1400000,4940,202700,13800
2,0,,"fyp, dog",,659000,3930,74100,15700
2,1,,"capcut, fyp, viral, rek, capcut_edit",,35200,251,8760,258
2,2,,,tiktoklive_us,16900,205,776,80
2,3,,"fyp, blinkerchallenge, makeup",,1100000,4186,68300,2825
2,4,,"fyp, foryou, gaming, saloodz, foryoupage, trending, fortnite, fortnitetips",,182900,1773,17500,395
2,5,,"inverno, frio, estadosunidos",,191100,2292,5648,1400
2,6,,"fyp, foryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, 5xpictures, pov, thatonefriend, bff, disneyworld",,2800000,43000,173900,58300
2,7,,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",,690900,15100,71400,128900
2,8,,,,436000,5546,25000,6860
2,9,,"game, build, catan",,284000,1435,23100,10800
2,10,,"fyp%E3%82%B7, thegrinch, twins, finalsweek",,123600,481,15100,1333
2,11,,"tmnt, ninjaturtles, fyp, raphael, viral, trending",,1100000,8353,114500,15900
2,12,,"serverlife, serverproblems, servertiktok, servers",,145500,0,21800,844
2,13,,,brookemonk_,203900,462,7813,279
2,14,,"fyp, bsfs, languagebarrier, spanish, parati",,2300000,2564,170200,4982
2,15,,,,29800,1305,1067,114
2,16,,,,224600,3944,11700,1157
2,17,,,,2400000,51000,185900,36600
2,18,,"kaicenat, 21savage, kai, cenat, nba, basketball, atlanta, hawks, twitch, kick, streamer, kaicenat",atlhawks,5600000,13700,309400,8006
2,19,,"mattsturniolo, mattsturnioloedit",,266100,1409,81400,1836
2,20,,"meme, memecut, fyp, foryoupage, parati, parenting, eliteemployee, capcut, capcut_edit",,328100,1352,16900,37400
2,21,,"relatable, theonlyfamousbrian, money, laundry",,486700,1463,67400,2712
2,22,,"xybca, diditforthebrisket, fyp, viral",,266300,2957,23800,1911
2,23,,"edit, spiderman, theamazingspiderman, andrewgarfield, aftereffects",,1300000,2541,165700,8367
2,24,,"fyp, foryou, mariokart8deluxe, gaming, meme, memecut",,462400,2357,51800,48500
2,25,,,,315700,2679,34000,3835
2,26,,"fyp, tiktok, viral",,328300,476,16500,190
2,27,,"handwriting, handwritingchallenge, 50statessong, fyp, handwritingcheck, handwritingvideos, norashandwriting",,231700,1201,39600,1369
2,28,,"hotdog, hotdiggitydog, dog, dachshund, dachshundsoftiktok, dachshundaddict, wienerdog, wien, sausagedog, puppy, run, fyp, foryou",,2000000,5391,168700,53000
3,0,original sound - Lifewithmark,"foryou, frenchbulldog, bourboncityfrenchies, frenchbulldogpuppy, creme, cremethefrenchbulldog, frenchies, fyp, share",marks.gallery,1700000,8987,191000,17700
3,1,son original - 💐𝐵🪐,,brookemonk_,2300000,4250,131600,4055
3,2,sonido original - Jungkook's gf🌷,"mexicantiktok, fyp",jacqui_olivera04,3500000,26000,246600,75100
3,3,original sound - Haley 🌙 | aemkniqht,"fu, erich, money",mezrichest,968300,16800,85900,16500
3,4,Freeza Fortnite OG - Ethan,"fortnite, dbz, frieza, dbl, dblegends, dbs",under_toasted,346000,2070,35300,5088
3,5,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"boardgames, gamenight, couple, fun",games4two,1500000,3592,87400,26100
3,6,Un Millón de Primaveras - Vicente Fernández,,perla.cee,125200,559,40500,7056
4,0,FANCY (SLOWED + REVERB) - Godlike Pariah,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",inthehandsoflando,307600,537,70900,1314
4,1,Follow my insta - ‍,"shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7, nike, airforce, viral, trending, sneakers",coco_kick.io,183600,211,56900,7430
4,2,PISTOL PACCIN - NLE Choppa & BigXthaPlug,,cooljake_48,1400000,3718,102200,7970
4,3,hot people use this sound - 𝒂💕,,toomuchanthony,1000000,3388,61300,1359
4,4,original sound - speed ups,,aylixn,3600000,12800,286000,16700
4,5,Dont stop da beat bih - Tigga Jones,"fyp, viral",famedame_,476300,1561,52900,1754
4,6,original sound - Josh Liljenquist,,joshlilj,515700,1398,19100,634
4,7,She was 11 Dr Phil - Rea,,iambriancoro,2000000,4337,209400,9268
4,8,original sound - goldenbearollie,"comedy, dogsoftiktok, dogmom, goldenretriever",goldenbearollie,1200000,13600,78100,200700
4,9,original sound - pdilul,"fyp, fyp%E3%82%B7, tiktok, foryou",pdilul,132700,1086,15300,3007
4,10,Lovin On Me - Jack Harlow,"jackharlow, lovinonme, cats, rap, hiphop, raptok, cat, catsoftiktok, fyp",chillestcat,1800000,20700,207900,77800
4,11,original sound - squishiesophie,"squishiesophie, paperstars, starpaper, origami, crafts",squishiesophie,1100000,4313,392500,20100
4,12,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,255300,5309,83900,5548
4,13,original sound - LoveSoft,"relatable, fyp",gucci_mastergirl,150300,339,11000,401
4,14,original sound - Dori,"fortnite, fortniteclips, fortnitememes, fyp",dorifnbr,331500,2694,53700,2912
4,15,And why arent you in uniform - No context Spongebob,"therookie, timbradford, celinajuarez",ericwinter76,1700000,5582,69800,9658
4,16,original sound - Code Jaewalker,"fortnite, foryou, edit, jaewalker, ae",code_jaewalker,1900000,29800,291800,24000
4,17,Thot Shit - Megan Thee Stallion,"@lauren.clark.21, @usaflagfb, flagfootball, worlds",flagfootballclips,976000,14700,36700,3431
4,18,original sound - pythiadapodfbfnb,,pythiadapodfbfnb,136500,548,16200,501
4,19,original sound - 𝐝𝐞𝐬𝐬𝐲 ❦,"foreverosamas, ddosamaedit, ddosama, blowthisup, foryoupage, e4notti%F0%9F%95%8A, trending, harlem, bronxdrill, ddosama, dancing",foreverosamas,187700,771,44100,1364
4,20,Wondering Why - The Red Clay Strays,"@themodernproper, soup, soupseason, souptok, soupforthesoul, soupfordinner, dinner, dinnerideas, dinnerinspo, souprecipes, soupideas, soupinspo, dinnerrecipes, dinnertime, easydinner, easysouprecipe, easysouprecipes, tortellinisoup, creamytortellinisausagesoup",chacekitchen,803700,2171,299900,48100
4,21,starlinedits - Editsxborrego.🗝,"fyp, viral, foryou, flow, ootd, outfit",alessia_v28,107400,1278,8026,1336
4,22,original sound - Madison Humphrey,"fyp, siblings, comedy, brother, sister, foryou, trending, skit",madison.humphreyy,986700,2747,39500,10100
4,23,son original - 💐𝐵🪐,,harperzilmer4,511000,3017,31500,1714
4,24,original sound - DL GANG,"dlgang, foryou",dl_gang,450700,2667,35300,6276
4,25,Gangsta Funktion - King Lil G,"@onekick.ru, fyp%E3%82%B7, lilwolf727, brownandproud, levis, chicano, @shakawear, fbcounty",lilwolf727,532800,2105,35000,3906
4,26,original sound - JadonRockwell,,stunnastina,1700000,15600,162000,15700
4,27,original sound - MILITANT MINDS,"capcut, iheardyoutoldyourfriend, iheardyoutoldyourfriends, trendingsong, trendingtiktok",arabella_lemonstrang13,37300,423,9062,997
4,28,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,513600,3657,35800,140200
4,29,original sound - That funny guy 😆,tiktok,lilwavvevlogs,2200000,28000,268300,29000
5,0,original sound - Toyy,"paper, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,288400,2920,30900,4207
5,1,original sound - Slimmerjimmer,,paigetaylor.s,2000000,1673,80900,4147
5,2,Among Us - Sembari +,"fyp, bestfortniteplayer, fortnite, bestfortniteclips, funnyfortniteclips, funnyfortnitemoments, fortnitefails",qlue38,568800,3813,67400,16800
5,3,EBT yaaaaa - 🐉dustyX1X🐉,"fyp, ebtcard, fypage, ebt, steakandcheese",itsbruh444,1500000,6679,152500,71000
5,4,original sound - Lava Blades,@curlysp0t,lavabladez,2100000,8691,163300,18000
5,5,original sound - Klaudia,"fyp, navidad, family",crisd173,907900,2083,82000,5057
5,6,original sound - Maddie⭐️,"fyp, foryoupage, foryourpage, onmysoul, dus, tray, jayda, jayna, prank, funny, endlessjourney, endlessjourney, endlessjourney, endlessjourney, foryourpage, foryourpage, foryourpage, foryourpage",weadore_jtxrns,380400,485,33500,329
5,7,suono originale - spidey,"@migheadgh0, carbonfiber, keyrambit, carsoftiktok, viral, dropshippers",keyrambit,105900,2851,11300,177
5,8,original sound - Courtney Hensley- Brown,,lovelynique26,423700,1177,27600,1839
5,9,original sound - avii ⚡️,"@kgeditz__, fyp%E3%82%B7, ampavii, smooth, blowthisup, 120fps, kaicenat, tiktok, edit, xyzabc, hi, tiktok",ampavii,317600,2148,78200,2127
5,10,original sound - OneStopChop,"tacobowl, mealprep, potatoes, onestopchop",onestopchop,341700,2125,143700,32600
5,11,original sound - Artofchloerose,"@playstation, artistsoftiktok, art",artofchloerose,540900,3346,21800,3106
5,12,Send this to your bestie - ☘︎,"foryou, fyp, bvbyjunior",bvbyjunior_,1100000,24100,96300,42800
5,13,original sound - alyssa_movies,"movie, movieclips, foryou",alyssa_movies,619800,1161,49400,717
5,14,original sound - Rooster Teeth,"pov, funny, comedy, dnd, dungeonsanddragons, relatable, bestfriends, foryoupage, crazycae, fantasy",crazycae,308500,6098,52300,6049
5,15,Vengeance - iwilldiehere,"jdball26, fyp%E3%82%B7, trendingvideo, viralvideo, dodgeball, foryoupage",jdball26,85700,176,5328,129
5,16,original sound - DRILLFANATIC,"xybca, foryourpage, fendibuh",fendidakid,241500,909,15900,412
5,17,IMMMMM UPPPPP - Antwitdatfatty 🍑,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",leci.bby,262700,1057,41100,3709
5,18,Imma Scope The Scenery Out Meatball Casa Di - CasaDi,,whiteboyemmom,301200,1283,30000,632
5,19,Cocky Af - Megan Thee Stallion,,amiri.da,309400,2746,48500,4875
5,20,original sound - Nathan The Tech Nerd,"@wokeboat, fyp, gaming, tech, xbox",nathanthetechnerd_,99400,856,38900,7053
5,21,Storytelling - Adriel,"fyp, viral, fortnite, fortnitepro, fortniteclips, fortniteranked, fortnitememes, fortnitetips, gaming, camnutz",camnutz_,103200,10300,8090,288
5,22,original sound - doyoucare😐,"salmajabarbique, fyp, foryoupageofficiall, fyp%E3%82%B7, foryourpage, crocs, converse, shoes, trend",salmajabarbique,1900000,15200,160300,16200
